"ITEM","CONDITION","SENTENCE","QUESTION","CORRECT","WRONG","LIST","TYPE"
1,1,"Marie*va*au cinéma*tous les jours.",1,"はい","いいえ",1,"item"
2,1,"Les étudiants*préparent*leurs examens*avec soin.",1,"はい","いいえ",1,"item"
3,1,"Le professeur*explique*le problème*aux élèves.",1,"はい","いいえ",1,"item"
4,1,"Mon frère*travaille*dans une banque*depuis deux ans.",1,"はい","いいえ",1,"item"
5,1,"Mes parents*habitent*à Paris*depuis longtemps.",1,"はい","いいえ",1,"item"
6,1,"La voisine*arrose*ses plantes*chaque matin.",1,"はい","いいえ",1,"item"
7,1,"Les enfants*mangent*des glaces*pendant l'été.",1,"はい","いいえ",1,"item"
8,1,"Thomas*parle*trois langues*couramment.",1,"はい","いいえ",1,"item"
9,1,"Cette femme*vend*des légumes*au marché.",1,"はい","いいえ",1,"item"
10,1,"Nos amis*viennent*dîner*ce soir.",1,"はい","いいえ",1,"item"
11,1,"Pierre et Marie*sont*en train de manger.",1,"はい","いいえ",1,"item"
12,1,"Le chat*dort*sur le canapé*toute la journée.",1,"はい","いいえ",1,"item"
13,1,"Les touristes*visitent*le musée*cet après-midi.",1,"はい","いいえ",1,"item"
14,1,"Ma sœur*étudie*la médecine*à l'université.",1,"はい","いいえ",1,"item"
15,1,"Ces garçons*jouent*au football*dans le parc.",1,"はい","いいえ",1,"item"
16,2,"Elle*va*au cinéma*tous les jours.",1,"はい","いいえ",1,"item"
17,2,"Ils*préparent*leurs examens*avec soin.",1,"はい","いいえ",1,"item"
18,2,"Il*explique*le problème*aux élèves.",1,"はい","いいえ",1,"item"
19,2,"Il*travaille*dans une banque*depuis deux ans.",1,"はい","いいえ",1,"item"
20,2,"Ils*habitent*à Paris*depuis longtemps.",1,"はい","いいえ",1,"item"
21,2,"Elle*arrose*ses plantes*chaque matin.",1,"はい","いいえ",1,"item"
22,2,"Ils*mangent*des glaces*pendant l'été.",1,"はい","いいえ",1,"item"
23,2,"Il*parle*trois langues*couramment.",1,"はい","いいえ",1,"item"
24,2,"Elle*vend*des légumes*au marché.",1,"はい","いいえ",1,"item"
25,2,"Ils*viennent*dîner*ce soir.",1,"はい","いいえ",1,"item"
26,2,"Ils*sont*en train de manger.",1,"はい","いいえ",1,"item"
27,2,"Il*dort*sur le canapé*toute la journée.",1,"はい","いいえ",1,"item"
28,2,"Ils*visitent*le musée*cet après-midi.",1,"はい","いいえ",1,"item"
29,2,"Elle*étudie*la médecine*à l'université.",1,"はい","いいえ",1,"item"
30,2,"Ils*jouent*au football*dans le parc.",1,"はい","いいえ",1,"item"
1001,1001,"Le concert*a commencé*à vingt heures.",1,"はい","いいえ",1,"filler"
1002,1001,"Nous*sommes allés*à la plage*hier.",1,"はい","いいえ",1,"filler"
1003,1001,"Je*prends*le train*tous les matins.",1,"はい","いいえ",1,"filler"
1004,1001,"Tu*as acheté*un nouveau livre.",1,"はい","いいえ",1,"filler"
1005,1001,"Vous*êtes*en retard*aujourd'hui.",1,"はい","いいえ",1,"filler"
1006,1001,"Sarah*a fini*son projet*avant la date limite.",1,"はい","いいえ",1,"filler"
1007,1001,"La voiture*est garée*devant la maison.",1,"はい","いいえ",1,"filler"
1008,1001,"Les oiseaux*chantent*dans les arbres.",1,"はい","いいえ",1,"filler"
1009,1001,"Nous*irons*au théâtre*ce weekend.",1,"はい","いいえ",1,"filler"
1010,1001,"J'*ai oublié*mes clés*ce matin.",1,"はい","いいえ",1,"filler"
1011,1001,"Mon père*cuisiner*très bien.",0,"はい","いいえ",1,"filler"
1012,1001,"Elle*a mange*au restaurant*hier soir.",0,"はい","いいえ",1,"filler"
1013,1001,"Ils*est parti*en vacances.",0,"はい","いいえ",1,"filler"
1014,1001,"Nous*avez*fini*le travail.",0,"はい","いいえ",1,"filler"
1015,1001,"Il*parlent*anglais*couramment.",0,"はい","いいえ",1,"filler"
1016,1001,"Jean et Marie*va*au théâtre*ensemble.",0,"はい","いいえ",1,"filler"
1017,1001,"Les films*est*intéressants.",0,"はい","いいえ",1,"filler"
1018,1001,"Tu*ont*une belle maison.",0,"はい","いいえ",1,"filler"
1019,1001,"Le chat*mangent*des croquettes.",0,"はい","いいえ",1,"filler"
1020,1001,"Ces femmes*cuisine*pour le restaurant.",0,"はい","いいえ",1,"filler"
1021,1001,"Le médecin*sont*très compétent.",0,"はい","いいえ",1,"filler"
1022,1001,"Vous*a*des questions?",0,"はい","いいえ",1,"filler"
1023,1001,"La voiture*roulent*très vite.",0,"はい","いいえ",1,"filler"
1024,1001,"J'*avons*beaucoup de travail.",0,"はい","いいえ",1,"filler"
1025,1001,"Les livres*est*sur la table.",0,"はい","いいえ",1,"filler"
1026,1001,"Paul*avez*un nouveau téléphone.",0,"はい","いいえ",1,"filler"
1027,1001,"Elle*sommes*fatiguée.",0,"はい","いいえ",1,"filler"
1028,1001,"Je*ont*faim.",0,"はい","いいえ",1,"filler"
1029,1001,"Tu*a*deux frères.",0,"はい","いいえ",1,"filler"
1030,1001,"Il*ont*une voiture rouge.",0,"はい","いいえ",1,"filler"
